Date,Min,MinCorrect,Average,AverageCorrect,Max,MaxCorrect
18810101,-1.5,0,-0.2,0,1.0,0
18810102,-2.5,0,-1.1,0,1.7,0
18810103,-0.9,0,1.1,0,1.9,0
18810104,0.7,0,1.7,0,2.2,0
18810105,-10.4,0,-6.1,0,2.2,0
18810106,-11.9,0,-7.6,0,-2.0,0
18810107,-8.5,0,-5.5,0,0.7,0
18810108,-13.3,0,-10.8,0,-7.0,0
18810109,-15.6,0,-10.6,0,-9.1,0
18810110,-14.8,0,-13.4,0,-9.2,0
18810111,-23.2,0,-19.0,0,-14.6,0
18810112,-26.4,0,-23.6,0,-19.8,0
18810113,-23.1,0,-18.5,0,-14.0,0
18810114,-24.7,0,-22.1,0,-18.5,0
18810115,-25.7,0,-14.4,0,-13.1,0
18810116,-16.4,0,-15.5,0,-14.7,0
18810117,-24.6,0,-22.0,0,-16.1,0
18810118,-26.6,0,-22.2,0,-21.5,0
18810119,-25.3,0,-22.4,0,-20.1,0
18810120,-22.0,0,-19.4,0,-17.5,0
18810121,-21.8,0,-18.4,0,-16.7,0
18810122,-22.1,0,-19.8,0,-17.9,0
18810123,-18.5,0,-16.4,0,-15.1,0
18810124,-19.1,0,-12.3,0,-5.3,0
18810125,-9.5,0,-6.2,0,-1.6,0
18810126,-3.8,0,-1.5,0,-0.4,0
18810127,-11.5,0,-7.5,0,-1.8,0
18810128,-13.8,0,-8.2,0,-5.4,0
18810129,-14.1,0,-11.0,0,-7.1,0
18810130,-11.4,0,-6.0,0,-4.8,0
18810131,-7.0,0,-4.8,0,-3.2,0
18810201,-5.7,0,-4.3,0,-3.1,0
18810202,-3.6,0,-1.2,0,0.3,0
18810203,-11.3,0,-6.4,0,-0.4,0
18810204,-24.6,0,-22.0,0,-10.9,0
18810205,-24.1,0,-17.8,0,-15.0,0
18810206,-15.4,0,-8.0,0,-4.5,0
18810207,-19.1,0,-8.6,0,-1.3,0
18810208,-21.0,0,-17.0,0,-14.2,0
18810209,-15.8,0,-10.8,0,-9.6,0
18810210,-10.6,0,-6.1,0,-1.5,0
18810211,-1.8,0,0.7,0,1.5,0
18810212,-0.4,0,0.7,0,2.3,0
18810213,-11.3,0,-10.2,0,-0.3,0
18810214,-11.1,0,-10.6,0,-8.6,0
18810215,-8.6,0,-5.5,0,-3.5,0
18810216,-4.7,0,-2.1,0,-0.7,0
18810217,-3.5,0,-2.6,0,-1.2,0
18810218,-9.4,0,-6.7,0,-3.0,0
18810219,-9.4,0,-7.6,0,-6.3,0
18810220,-11.5,0,-9.5,0,-6.9,0
18810221,-18.1,0,-13.4,0,-6.0,0
18810222,-17.8,0,-12.6,0,-5.3,0
18810223,-19.3,0,-15.6,0,-11.5,0
18810224,-20.2,0,-13.4,0,-6.6,0
18810225,-15.1,0,-9.0,0,-3.0,0
